ASS,Distretto,id,Denominazione_struttura,Natura_giuridica,operator,addr:street,addr:housenumber,addr:postcode,addr:city,lon,lat,type,Prov.,Telefono,Fax,Email,Convenzione_con_SSR,Tipologia_residenza,description,social_facility,social_facility:for,capacity,Posti_letto_per_autosufficienti,capacity:disabled,Posti_letto_in_polifunzionale
ASS1 - Triestina,1.2 Sud,0,Casa Anna 1,privata di mercato,,Via San Lazzaro,17,34122,Trieste,13.7759104,45.6514233,house,TS,+39 040 631020,+39 040 631020,info@casarosannats.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,18,,,18
ASS4 - Medio Friuli,4.1 S.Daniele,1,Centro anziani Buja,pubblica comunale,Comune di Buja ,Via Ursinins Piccolo,2,33030,Buja ,13.1190256,46.206878,house,UD,+39 0432 964421,+39 0432 964422,,non convenzionata,Casa albergo,"Casa albergo, pubblica comunale, non convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.1 S.Daniele",assisted_living,senior,64,64,,
ASS1 - Triestina,1.2 Sud,2,Ad Maiores,privata di mercato,,Corso Italia,27,34122,Trieste,13.775283,45.64951,house,TS,+39 040 638200,+39 040 3474091,tizianakert@gmail.com,convenzionata,Residenza polifunzionale con modulo fascia A,"Residenza polifunzionale con modulo fascia A, privata di mercato, convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,,48,,,48
ASS1 - Triestina,1.4 Nord,3,Anni d'argento,privata di mercato,,Largo della Barriera Vecchia,11,34129,Trieste ,13.7789577,45.6476237,house,TS,+39 040 636258,+39 040 636258,annidiargento@libero.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata di mercato, non convenzionata con SSR; ASS1 - Triestina, distretto 1.4 Nord",nursing_home,senior,15,,,15
ASS2 - Isontina,2.2 Basso Isontino,4,Casa alloggio 2000,privata sociale,,Via pietro Blaserna,12,34074,Monfalcone ,13.5324452,45.8104323,house,GO,+39 0481 40005,,,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata sociale, non convenzionata con SSR; ASS2 - Isontina, distretto 2.2 Basso Isontino",nursing_home,senior,10,,,10
ASS1 - Triestina,1.2 Sud,5,ASP ITIS,pubblica ASP,ASP ITIS,Via Giovanni Pascoli,31,34129,Trieste,13.7843493,45.6469455,house,TS,+39 040 3736210,+39 040 3736220,segreteria@itis.it,convenzionata,Residenza protetta,"Residenza protetta, pubblica ASP, convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,disabled,411,,411,
ASS4 - Medio Friuli,4.5 Udine,6,La Quiete,pubblica ASP,La Quiete,VIA Sant'AGOSTINO,7,33100,Udine,13.239846054479447,46.0685254,social_facility,UD,+39 0432 886211,+39 0432 26460,segreteria@laquieteudine.it,convenzionata,Residenza ad utenza diversificata,"Residenza ad utenza diversificata, pubblica ASP, convenzionata con SSR; ASS4 - Medio Friuli, distretto 4.5 Udine",nursing_home,senior;disabled,445,14,431,
ASS1 - Triestina,1.2 Sud,7,Casa Anna 2,privata sociale,,Via San Lazzaro,17,34122,Trieste,13.7759104,45.6514233,house,TS,+39 040 631020,+39 040 631020,triesteamministrazione@societadolce.it,non convenzionata,Residenza polifunzionale,"Residenza polifunzionale, privata sociale, non convenzionata con SSR; ASS1 - Triestina, distretto 1.2 Sud",nursing_home,senior,23,,,23
ASS1 - Triestina,1.4 Nord,8,Casa della famiglia della Giovane Mater Dei,privata sociale,,VIALE RAFFAELLO SANZIO,3,34128,Trieste,13.7996591,45.6548625,house,TS,+39 040 53580,+39 040 350441,mater.dei@tiscali.it,non convenzionata,Casa albergo,"Casa albergo, privata sociale, non convenzionata con SSR; ASS1 - Triestina, distretto 1.4 Nord",assisted_living,senior,88,88,,
ASS1 - Triestina,1.3 Est,9,Casa Emmaus,privata sociale,,Via Italo Svevo,34,34145,Trieste,13.7812021,45.6302603,house,TS,+39 040 3882111,+39 040 3882600,casa.emmaus@libero.it,convenzionata,Residenza protetta,"Residenza protetta, privata sociale, convenzionata con SSR; ASS1 - Triestina, distretto 1.3 Est",nursing_home,disabled,122,,122,
