ASS,Distretto,Denominazione struttura,Natura giuridica,Indirizzo,N° civ.,CAP,Città,Prov.,Telefono,Fax,E-mail,Convenzione con SSR,Tipologia residenza,Posti letto totali,Posti letto per autosufficienti,Posti lettp per non autosuffcienti,Posti letto in polifunzionale
ASS1 - Triestina,1.2 Sud,"""Casa Anna 1""",Privata di mercato,Via San Lazzaro,17,34122,Trieste,TS,040/631020,040/631020,info@casarosannats.it,no,Residenza polifunzionale,18,,,18
ASS4 - Medio Friuli,4.1 S.Daniele,Centro anziani Buja,Pubblica comunale,Via Ursinis Piccolo,2/27,33030,Buja (UD),UD,0432/964421,0432/964422,,no,Casa albergo,64,64,,
ASS1 - Triestina,1.2 Sud,"""Ad Maiores""",Privata di mercato,Corso Italia,27,34122,Trieste,TS,040/638200,040/3474091,tizianakert@gmail.com,si,Residenza polifunzionale con Mod.A,48,,,48
ASS1 - Triestina,1.4 Nord,"""Anni d'argento""",Privata di mercato,Largo Barriera,11,34129,Trieste ,TS,040/636258,040/636258,annidiargento@libero.it,no,Residenza polifunzionale,15,,,15
ASS2 - Isontina,2.2 Basso Isontino,"""Casa alloggio 2000""",Privata sociale,Via Blaserna,12,34074,Monfalcone (GO),GO,0481/40005,,,no,Residenza polifunzionale,10,,,10
ASS1 - Triestina,1.2 Sud,"ASP ""ITIS""",Pubblica ASP, Via Pascoli,31,34129,Trieste,TS,040/3736210,040/3736220,segreteria@itis.it,si,Residenza protetta,411,,411,
ASS4 - Medio Friuli,4.5 Udine,"""La Quiete""",Pubblica ASP,VIA S. AGOSTINO,7,33100,Udine,UD,0432/886211,0432/26460,segreteria@laquieteudine.it,si,Residenza ad Utenza Diversificata,445,14,431,
ASS1 - Triestina,1.2 Sud,"""Casa Anna 2""",Privata sociale,Via San Lazzaro,17,34122,Trieste,TS,040/631020,040/631020,triesteamministrazione@societadolce.it,no,Residenza polifunzionale,23,,,23
ASS1 - Triestina,1.4 Nord,"""Casa della famiglia della Giovane Mater Dei""",Privata sociale,VIALE RAFFAELLO SANZIO ,3,34128,Trieste,TS,040/53580,040/350441,mater.dei@tiscali.it,no,Casa albergo,88,88,,
ASS1 - Triestina,1.3 Est,"""Casa Emmaus""",Privata sociale,Via Italo Svevo,34,34145,Trieste,TS,040/3882111,040/3882600,casa.emmaus@libero.it,si,Residenza protetta,122,,122,
ASS1 - Triestina,1.4 Nord,"""Casa Fiorita""",Privata di mercato,Strada Nuova per Opicina ,7,34151,Trieste,TS,040/55193,040/55193,pbonazza@hotmail.it,no,Residenza polifunzionale,20,,,20
ASS1 - Triestina,1.1 Ovest,"""Casa Mario Capon""",Pubblica comunale,Via Sant'Isidoro  - OPICINA,13,34016,Trieste,TS,040/211484,040/214186,casa_riposo_capon@comune.trieste.it,no,Casa albergo,25,25,,
ASS1 - Triestina,1.2 Sud,"""Casa Rusconi"" ASP",Pubblica ASP,Via Giovanni Pascoli,31,34129,Trieste,TS,040/3736303,,segreteria@itis.it,no,Comunità alloggio,30,30,,
ASS1 - Triestina,1.4 Nord,"""Centro per l'anziano""",Pubblica comunale,Via Carlo de Marchesetti,8/3,34142,Trieste,TS,040/910252,040/9149252,Amministrazione_CPA@comune.trieste.it,si,Residenza ad utenza diversificata,206,86,120,
ASS1 - Triestina,1.1 Ovest,"""Fiori del Carso""",Privata di mercato,Viale Stazione,26/a,34011,Duino Aurisina (TS),TS,040/3784300,040/3784313,fiori@pinetadelcarso.it,si,Residenza polifunzionale con Mod.A,57,,,57
ASS2 - Isontina,2.2 Basso Isontino,"""I.S.A.""",Privata di mercato,VIA BLASERNA,12,34074,Monfalcone (GO),GO,0481/412983,0481/412983,info@casapensioneisa.it,no,Residenza polifunzionale,23,,,23
ASS5 - Bassa Friulana,5.1 Est,"""Ianus""",Privata sociale,Viale San Marco,4,33057,Palmanova (UD),UD,0432/924132,0432/933001,ianus.segreteria@societadolce.it,si,Residenza polifunzionale con Mod.A,60,,,60
ASS1 - Triestina,1.2 Sud,"""La  Primula""",Privata di mercato,Via Molino a Vento,72,34137,Trieste ,TS,040/369575,040/369575,laprimulatrieste@libero.it,no,Residenza polifunzionale,16,,,16
